DATE,INCOME,,,,,,,,,,,,,,,,,,,,,
15/10/2021,3500,,,,,,,,,,,,,,,,,,,,,
16/10/2021,5500,,,,,,,,,,,,,,,,,,,,,
17/10/2021,3150,,,,,,,,,,,,,,,,,,,,,
20/10/2021,4880,,,,,,,,,,,,,,,,,,,,,
22/10/2021,7750,,,,,,,,,,,,,,,,,,,,,
23/10/2021,1900,,,,,,,,,,,,,,,,,,,,,
24/10/2021,-1100,,,,,,,,,,,,,,,,,,,,,
25/10/2021,4100,,,,,,,,,,,,,,,,,,,,,
26/10/2021,1050,,,,,,,,,,,,,,,,,,,,,
27/10/2021,2300,,,,,,,,,,,,,,,,,,,,,
28/10/2021,0,,,,,,,,,,,,,,,,,,,,,
29/10/2021,1500,,,,,,,,,,,,,,,,,,,,,
30/10/2021,1600,,,,,,,,,,,,,,,,,,,,,
15/11/2021,2800,,,,,,,,,,,,,,,,,,,,,
16/11/2021,2800,,,,,,,,,,,,,,,,,,,,,
17/11/2021,4400,,,,,,,,,,,,,,,,,,,,,
18/11/2021,4200,,,,,,,,,,,,,,,,,,,,,
19/11/2021,1900,,,,,,,,,,,,,,,,,,,,,
20/11/2021,5300,,,,,,,,,,,,,,,,,,,,,
22/11/2021,-1000,,,,,,,,,,,,,,,,,,,,,
23/11/2021,3000,,,,,,,,,,,,,,,,,,,,,
24/11/2021,0,,,,,,,,,,,,,,,,,,,,,
25/11/2021,6300,,,,,,,,,,,,,,,,,,,,,
26/11/2021,650,,,,,,,,,,,,,,,,,,,,,
27/11/2021,5750,,,,,,,,,,,,,,,,,,,,,
28/11/2021,300,,,,,,,,,,,,,,,,,,,,,
29/11/2021,1900,,,,,,,,,,,,,,,,,,,,,
30/11/2021,8100,,,,,,,,,,,,,,,,,,,,,
15/12/2021,5600,,,,,,,,,,,,,,,,,,,,,
16/12/2022,2400,,,,,,,,,,,,,,,,,,,,,
17/12/2021,3050,,,,,,,,,,,,,,,,,,,,,
18/12/2021,700,,,,,,,,,,,,,,,,,,,,,
20/12/2021,6700,,,,,,,,,,,,,,,,,,,,,
21/12/2021,5400,,,,,,,,,,,,,,,,,,,,,
22/12/2021,7800,,,,,,,,,,,,,,,,,,,,,
23/12/2021,4650,,,,,,,,,,,,,,,,,,,,,
24/12/2021,1400,,,,,,,,,,,,,,,,,,,,,
27/12/2021,2300,,,,,,,,,,,,,,,,,,,,,
28/12/2021,2700,,,,,,,,,,,,,,,,,,,,,
29/12/2021,2800,,,,,,,,,,,,,,,,,,,,,
30/12/2022,2800,,,,,,,,,,,,,,,,,,,,,
31/12/2021,5300,,,,,,,,,,,,,,,,,,,,,
15/01/2022,2600,,,,,,,,,,,,,,,,,,,,,
18/01/2022,7000,,,,,,,,,,,,,,,,,,,,,
19/01/2022,1300,,,,,,,,,,,,,,,,,,,,,
21/01/2022,5900,,,,,,,,,,,,,,,,,,,,,
22/01/2022,1350,,,,,,,,,,,,,,,,,,,,,
23/01/2021,4500,,,,,,,,,,,,,,,,,,,,,
24/01/2022,6550,,,,,,,,,,,,,,,,,,,,,
25/01/2021,4450,,,,,,,,,,,,,,,,,,,,,
26/01/2022,300,,,,,,,,,,,,,,,,,,,,,
27/01/2022,4750,,,,,,,,,,,,,,,,,,,,,
28/01/2022,2250,,,,,,,,,,,,,,,,,,,,,
