date,work,income
"Thursday, September 30, 2021",2,2100
"Sunday, October 03, 2021",1,3600
"Monday, October 04, 2021",1,4000
"Tuesday, October 05, 2021",1,7900
"Wednesday, October 06, 2021",1,7500
"Thursday, October 07, 2021",1,10600
"Friday, October 08, 2021",1,6700
"Saturday, October 09, 2021",3,5800
"Sunday, October 10, 2021",1,6800
"Monday, October 11, 2021",3,8000
"Wednesday, October 13, 2021",1,2600
"Thursday, October 14, 2021",3,5500
"Friday, October 15, 2021",1,4200
"Saturday, October 16, 2021",1,10000
"Sunday, October 17, 2021",1,5600
"Monday, October 18, 2021",2,9000
"Tuesday, October 19, 2021",3,12500
"Wednesday, October 20, 2021",1,6000
"Monday, October 25, 2021",1,5600
"Tuesday, October 26, 2021",1,2100
"Wednesday, October 27, 2021",1,6400
"Thursday, October 28, 2021",1,2400
"Friday, October 29, 2021",2,2000
"Monday, November 01, 2021",2,2000
"Tuesday, November 02, 2021",1,3000
"Wednesday, November 03, 2021",2,18000
"Friday, November 05, 2021",1,6000
"Saturday, November 06, 2021",2,2200
"Sunday, November 07, 2021",1,2000
"Monday, November 08, 2021",1,9500
"Tuesday, November 09, 2021",1,5800
"Wednesday, November 10, 2021",1,5800
"Thursday, November 11, 2021",1,9000
"Friday, November 12, 2021",2,9000
"Saturday, November 13, 2021",1,8400
"Sunday, November 14, 2021",1,9500
"Monday, November 15, 2021",3,6500
"Tuesday, November 16, 2021",3,7300
"Wednesday, November 17, 2021",1,7900
"Thursday, November 18, 2021",3,7350
"Friday, November 19, 2021",1,5600
"Saturday, November 20, 2021",1,7400
"Sunday, November 21, 2021",1,5500
"Monday, November 22, 2021",1,4000
"Tuesday, November 23, 2021",1,1500
"Wednesday, November 24, 2021",3,11000
"Thursday, November 25, 2021",1,1500
"Friday, November 26, 2021",1,10500
"Saturday, November 27, 2021",1,4000
"Sunday, November 28, 2021",1,5500
"Monday, November 29, 2021",2,13000
"Wednesday, December 01, 2021",1,7600
"Thursday, December 02, 2021",1,8600
"Saturday, December 04, 2021",1,4200
"Sunday, December 05, 2021",1,4000
"Monday, December 06, 2021",2,12200
"Tuesday, December 07, 2021",1,6600
"Wednesday, December 08, 2021",1,11700
"Thursday, December 09, 2021",2,4200
"Friday, December 10, 2021",2,11000
"Saturday, December 11, 2021",1,6000
"Sunday, December 12, 2021",1,5400
"Monday, December 13, 2021",1,9500
"Tuesday, December 14, 2021",2,5000
"Wednesday, December 15, 2021",2,6200
"Thursday, December 16, 2021",1,6000
"Friday, December 17, 2021",1,5000
"Saturday, December 18, 2021",1,1000
"Sunday, December 19, 2021",1,12000
"Monday, December 20, 2021",1,8000
"Tuesday, December 21, 2021",1,13050
"Wednesday, December 22, 2021",1,7800
"Thursday, December 23, 2021",1,2000
"Monday, December 27, 2021",1,3300
"Tuesday, December 28, 2021",1,9000
"Wednesday, December 29, 2021",1,4000
"Thursday, December 30, 2021",1,7300
"Friday, December 31, 2021",1,7500
"Sunday, January 02, 2022",2,7000
"Monday, January 03, 2022",2,19700
"Tuesday, January 04, 2022",2,11500
"Wednesday, January 05, 2022",2,4500
"Thursday, January 06, 2022",2,4500
"Friday, January 07, 2022",1,3800
"Saturday, January 08, 2022",1,6000
"Sunday, January 09, 2022",2,17000
"Monday, January 10, 2022",2,9900
"Tuesday, January 11, 2022",2,9500
"Wednesday, January 12, 2022",1,6000
"Thursday, January 13, 2022",2,8500
"Friday, January 14, 2022",2,9500
"Saturday, January 15, 2022",2,5500
"Tuesday, January 18, 2022",2,10500
"Wednesday, January 19, 2022",2,4000
"Friday, January 21, 2022",2,9000
"Saturday, January 22, 2022",2,8000
"Sunday, January 23, 2022",1,5900
"Monday, January 24, 2022",2,12500
"Tuesday, January 25, 2022",2,10000
"Wednesday, January 26, 2022",2,4500
"Thursday, January 27, 2022",2,8000
"Friday, January 28, 2022",2,7000
"Tuesday, February 01, 2022",2,12000
"Wednesday, February 02, 2022",2,13500
"Thursday, February 03, 2022",2,12500
"Friday, February 04, 2022",2,11000
"Saturday, February 05, 2022",2,12500
"Sunday, February 06, 2022",2,11000
"Monday, February 07, 2022",2,9800
"Tuesday, February 08, 2022",2,12000
"Wednesday, February 09, 2022",2,12000
"Thursday, February 10, 2022",2,10000
"Friday, February 11, 2022",2,11000
"Saturday, February 12, 2022",2,13000
"Monday, February 14, 2022",2,9200
"Tuesday, February 15, 2022",2,7000
"Wednesday, February 16, 2022",2,10800
"Thursday, February 17, 2022",2,10000
"Friday, February 18, 2022",2,8000
"Saturday, February 19, 2022",2,12000
"Sunday, February 20, 2022",2,2200
"Monday, February 21, 2022",2,18000
"Tuesday, February 22, 2022",2,7700
"Thursday, February 24, 2022",2,7500
"Friday, February 25, 2022",2,7200
"Monday, February 28, 2022",2,6500
"Tuesday, March 01, 2022",2,7000
"Wednesday, March 02, 2022",2,5000
"Thursday, March 03, 2022",2,9000
"Friday, March 04, 2022",2,6000
"Saturday, March 05, 2022",2,8900
"Sunday, March 06, 2022",2,13000
"Monday, March 07, 2022",2,11500
"Tuesday, March 08, 2022",2,12500
"Wednesday, March 09, 2022",2,10500
"Friday, March 11, 2022",2,11500
"Sunday, March 13, 2022",2,7100
"Monday, March 14, 2022",2,13000
"Tuesday, March 15, 2022",2,8800
"Wednesday, March 16, 2022",2,3700
"Thursday, March 17, 2022",2,10500
"Friday, March 18, 2022",2,7000
"Monday, March 21, 2022",3,8000
"Wednesday, March 23, 2022",2,8000
"Friday, March 25, 2022",2,8500
"Sunday, March 27, 2022",3,2800
"Monday, March 28, 2022",2,4000
"Tuesday, March 29, 2022",2,8900
"Thursday, March 31, 2022",2,6000
"Monday, April 18, 2022",1,7500
"Sunday, April 24, 2022",2,2200
"Monday, April 25, 2022",1,6600
"Tuesday, April 26, 2022",1,6400
"Sunday, May 01, 2022",3,4200
"Tuesday, May 03, 2022",3,6800
"Sunday, May 08, 2022",1,8500
"Monday, May 09, 2022",3,4900
"Saturday, May 14, 2022",1,9100
"Monday, May 16, 2022",1,4500
"Thursday, May 19, 2022",3,8000
"Saturday, May 28, 2022",1,4000
"Monday, May 30, 2022",3,3800
"Tuesday, May 31, 2022",1,4000
"Thursday, June 02, 2022",1,3000
"Friday, June 03, 2022",2,2000
"Saturday, June 04, 2022",1,4000
"Sunday, June 05, 2022",2,6000
"Thursday, June 09, 2022",1,6000
"Friday, June 10, 2022",1,11600
"Saturday, June 11, 2022",1,12500
"Sunday, June 12, 2022",1,7500
"Monday, June 13, 2022",1,9000
"Tuesday, June 14, 2022",1,6600
"Wednesday, June 15, 2022",1,10000
"Thursday, June 16, 2022",1,10000
"Friday, June 17, 2022",2,5000
"Saturday, June 18, 2022",1,11000
"Monday, June 20, 2022",2,7500
"Tuesday, June 21, 2022",1,2000
"Thursday, June 23, 2022",1,4000
"Saturday, June 25, 2022",1,5600
"Sunday, June 26, 2022",3,3500
"Tuesday, June 28, 2022",1,10000
"Thursday, June 30, 2022",3,7800
"Friday, July 01, 2022",1,8000
"Saturday, July 02, 2022",1,2200
"Sunday, July 03, 2022",1,1700
"Monday, July 04, 2022",1,12600
"Tuesday, July 05, 2022",1,10300
"Wednesday, July 06, 2022",1,10000
"Thursday, July 07, 2022",2,12500
"Friday, July 08, 2022",1,2000
